Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,DDP-4,43,0.8713,1.3969,0.6064,0.6247,0.6219
ogbn-arxiv,DDP-4,44,0.8901,1.3836,0.6080,0.6259,0.6244
ogbn-arxiv,DDP-4,45,0.9091,1.3762,0.6098,0.6269,0.6251
ogbn-arxiv,DDP-4,46,0.9278,1.3711,0.6117,0.6277,0.6270
ogbn-arxiv,DDP-4,47,0.9464,1.3628,0.6138,0.6290,0.6277
ogbn-arxiv,DDP-4,48,0.9655,1.3551,0.6152,0.6300,0.6290
ogbn-arxiv,DDP-4,49,0.9843,1.3503,0.6164,0.6311,0.6300
ogbn-arxiv,Simulation-8,00,0.1379,3.5482,0.1968,0.1322,0.1457
ogbn-arxiv,Simulation-8,01,0.2082,3.2875,0.1810,0.0809,0.0642
ogbn-arxiv,Simulation-8,02,0.2779,3.0494,0.1879,0.0942,0.0738
ogbn-arxiv,Simulation-8,03,0.3478,2.9432,0.2241,0.1767,0.1490
ogbn-arxiv,Simulation-8,04,0.4160,2.8944,0.2663,0.2760,0.2477
ogbn-arxiv,Simulation-8,05,0.4837,2.8232,0.2776,0.2979,0.2676
ogbn-arxiv,Simulation-8,06,0.5522,2.7551,0.2796,0.3005,0.2697
ogbn-arxiv,Simulation-8,07,0.6175,2.6897,0.2821,0.3054,0.2772
ogbn-arxiv,Simulation-8,08,0.6836,2.6186,0.2835,0.3050,0.2763
ogbn-arxiv,Simulation-8,09,0.7484,2.5422,0.2915,0.3089,0.2796
ogbn-arxiv,Simulation-8,10,0.8135,2.4654,0.3168,0.3267,0.3014
ogbn-arxiv,Simulation-8,11,0.8795,2.3880,0.3437,0.3544,0.3357
ogbn-arxiv,Simulation-8,12,0.9447,2.3129,0.3652,0.3786,0.3646
ogbn-arxiv,Simulation-8,13,1.0096,2.2389,0.3910,0.4090,0.3977
ogbn-arxiv,Simulation-8,14,1.0808,2.1684,0.4179,0.4415,0.4357
ogbn-arxiv,Simulation-8,15,1.1459,2.1047,0.4365,0.4638,0.4620
ogbn-arxiv,Simulation-8,16,1.2095,2.0446,0.4516,0.4818,0.4831
ogbn-arxiv,Simulation-8,17,1.2742,1.9908,0.4669,0.4999,0.5018
ogbn-arxiv,Simulation-8,18,1.3384,1.9414,0.4776,0.5127,0.5153
ogbn-arxiv,Simulation-8,19,1.4033,1.8951,0.4873,0.5245,0.5271
ogbn-arxiv,Simulation-8,20,1.4695,1.8532,0.4959,0.5326,0.5354
ogbn-arxiv,Simulation-8,21,1.5342,1.8150,0.5033,0.5409,0.5432
ogbn-arxiv,Simulation-8,22,1.5993,1.7796,0.5119,0.5491,0.5508
ogbn-arxiv,Simulation-8,23,1.6654,1.7459,0.5205,0.5551,0.5578
ogbn-arxiv,Simulation-8,24,1.7305,1.7159,0.5292,0.5616,0.5647
ogbn-arxiv,Simulation-8,25,1.7948,1.6878,0.5367,0.5669,0.5696
ogbn-arxiv,Simulation-8,26,1.8610,1.6602,0.5452,0.5729,0.5751
ogbn-arxiv,Simulation-8,27,1.9260,1.6340,0.5519,0.5786,0.5800
ogbn-arxiv,Simulation-8,28,1.9910,1.6112,0.5587,0.5838,0.5844
ogbn-arxiv,Simulation-8,29,2.0567,1.5901,0.5642,0.5889,0.5887
ogbn-arxiv,Simulation-8,30,2.1216,1.5688,0.5695,0.5935,0.5920
ogbn-arxiv,Simulation-8,31,2.1865,1.5492,0.5743,0.5976,0.5964
ogbn-arxiv,Simulation-8,32,2.2525,1.5309,0.5784,0.6007,0.5998
ogbn-arxiv,Simulation-8,33,2.3177,1.5148,0.5829,0.6042,0.6020
ogbn-arxiv,Simulation-8,34,2.3822,1.4991,0.5858,0.6065,0.6043
