Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,DDP-8,11,0.3114,1.5779,0.4610,0.4572,0.4606
flickr,DDP-8,12,0.3318,1.5702,0.4627,0.4580,0.4612
flickr,DDP-8,13,0.3523,1.5628,0.4636,0.4602,0.4622
flickr,DDP-8,14,0.3728,1.5581,0.4658,0.4625,0.4636
flickr,DDP-8,15,0.3932,1.5496,0.4693,0.4642,0.4674
flickr,DDP-8,16,0.4137,1.5436,0.4694,0.4671,0.4700
flickr,DDP-8,17,0.4341,1.5409,0.4707,0.4684,0.4709
flickr,DDP-8,18,0.4545,1.5316,0.4746,0.4706,0.4727
flickr,DDP-8,19,0.4751,1.5235,0.4750,0.4737,0.4737
flickr,DDP-8,20,0.4955,1.5214,0.4773,0.4760,0.4757
flickr,DDP-8,21,0.5159,1.5143,0.4802,0.4779,0.4781
flickr,DDP-8,22,0.5364,1.5090,0.4815,0.4808,0.4801
flickr,DDP-8,23,0.5569,1.5045,0.4838,0.4822,0.4833
flickr,DDP-8,24,0.5774,1.4984,0.4854,0.4827,0.4846
flickr,DDP-8,25,0.5979,1.4914,0.4872,0.4844,0.4860
flickr,DDP-8,26,0.6183,1.4853,0.4890,0.4850,0.4879
flickr,DDP-8,27,0.6387,1.4791,0.4909,0.4859,0.4885
flickr,DDP-8,28,0.6591,1.4791,0.4915,0.4885,0.4894
flickr,DDP-8,29,0.6796,1.4698,0.4930,0.4902,0.4903
flickr,DDP-8,30,0.7000,1.4676,0.4941,0.4913,0.4916
flickr,DDP-8,31,0.7205,1.4654,0.4950,0.4926,0.4924
flickr,DDP-8,32,0.7410,1.4584,0.4965,0.4930,0.4928
flickr,DDP-8,33,0.7614,1.4539,0.4975,0.4937,0.4935
flickr,DDP-8,34,0.7818,1.4496,0.4988,0.4952,0.4941
flickr,DDP-8,35,0.8023,1.4491,0.5001,0.4956,0.4947
flickr,DDP-8,36,0.8228,1.4395,0.5010,0.4959,0.4959
flickr,DDP-8,37,0.8432,1.4374,0.5021,0.4958,0.4969
flickr,DDP-8,38,0.8636,1.4365,0.5030,0.4967,0.4971
