Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,DDP-8,10,0.2161,2.8573,0.2696,0.2856,0.2582
ogbn-arxiv,DDP-8,11,0.2321,2.8215,0.2754,0.2955,0.2664
ogbn-arxiv,DDP-8,12,0.2481,2.7822,0.2776,0.2978,0.2685
ogbn-arxiv,DDP-8,13,0.2640,2.7512,0.2782,0.2984,0.2688
ogbn-arxiv,DDP-8,14,0.2800,2.7202,0.2787,0.2987,0.2689
ogbn-arxiv,DDP-8,15,0.2960,2.6907,0.2794,0.2992,0.2692
ogbn-arxiv,DDP-8,16,0.3120,2.6590,0.2804,0.2998,0.2698
ogbn-arxiv,DDP-8,17,0.3279,2.6234,0.2815,0.3008,0.2708
ogbn-arxiv,DDP-8,18,0.3438,2.5874,0.2830,0.3023,0.2723
ogbn-arxiv,DDP-8,19,0.3598,2.5475,0.2855,0.3041,0.2755
